old value	new value
C. Massalongo	C. Massalongo
C. McConchie	C. McConchie
C. Messina	C. Messina
Miss C. Messina	C. Messina
C. Mohr	C. Mohr
C. Mottberg	C. Mottberg
Miss C. N. Clarke	C. N. Clarke
C. Nordall	C. Nordall
C. O. Grassl	C. O. Grassl
C. Ostenfeld	C. Ostenfeld
C. Ostenfeld-Hansen	C. Ostenfeld-Hansen
Ch. Ozanon	C. Ozanon
C. P. McRoy	C. P. McRoy
C. P. Nott	C. P. Nott
C. Payri	C. Payri
C. Payri, J. -L Menou, L. Mattio	C. Payri, J. L. Menou, L. Mattio
C. Payri, J. L. Menou, L. Mattio	C. Payri, J. L. Menou, L. Mattio
C. Payri, J.-L Menou, L. Mattio	C. Payri, J. L. Menou, L. Mattio
C. Payri, J.-L. Menou, L. Mattio	C. Payri, J. L. Menou, L. Mattio
C. Pelsma	C. Pelsma
C. Pohlmann	C. Pohlmann
C. Quarin, S. G. Tressens	C. Quarin, S. G. Tressens
C. Quian	C. Quian
C. R. Orcutt	C. R. Orcutt
C. R. Smith, G. W. Baines	C. R. Smith, G. W. Baines
C. Rasch	C. Rasch
C. Rechinger	C. Rechinger
C. Rodig	C. Rodig
C. Rosenberg	C. Rosenberg
C. Rosenborg	C. Rosenberg
C. S. Brown	C. S. Brown
C. S. Nielsen	C. S. Nielsen
C. Sandoval	C. Sandoval
C. Sauvageau	C. Sauvageau
C. Scheppig	C. Scheppig
C. Schimper	C. Schimper
C. T. Crocker	C. T. Crocker
C. T. Lani	C. T. Lani
C. T. S.	C. T. S.
C. T. White	C. T. White
C. U. Hangfch	C. U. Hantzsch
C. U. Hantzsch	C. U. Hantzsch
C.U. Hantzfsch	C. U. Hantzsch
C. V. Black	C. V. Black
C. V. Piper	C. V. Piper
C. v.d. Hoek	C. van den Hoek
C. van den Hoek	C. van den Hoek
C. W. Boone, A. Griffen, Fred A. Barkley	C. W. Boone, A. Griffen, Fred A. Barkley
C. W. Dodge	C. W. Dodge
C. W. Dodge, B. W. Dodge & W. S. Thomas	C. W. Dodge, B. W. Dodge, W. S. Thomas
C. W. Dodge, B. W. Dodge, and W. S. Thomas	C. W. Dodge, B. W. Dodge, W. S. Thomas
C. W. Dodge, B. W. Dodge, and W. S. Thomas, B.W. Dodge, W.S. Thomas	C. W. Dodge, B. W. Dodge, W. S. Thomas
C. W. Dodge, B. W. Dodge, W. S. Thomas	C. W. Dodge, B. W. Dodge, W. S. Thomas
C. W. Dodge, B.W. Dodge and W.S. Thomas	C. W. Dodge, B. W. Dodge, W. S. Thomas
C. W. Dodge, J L. Permar	C. W. Dodge, J. L. Permar
C. W. Dodge, J. I. Permar	C. W. Dodge, J. L. Permar
C. W. Dodge, J. L. Permar	C. W. Dodge, J. L. Permar
C. W. Schneider	C. W. Schneider
C. W. Thornton	C. W. Thornton
C. W. Thorton	C. W. Thornton
C. Watanabe	C. Watanabe
Ch. Wignier	C. Wignier
C. Wright	C. Wright
C. Y. Chiao	C. Y. Chiao
C. Z. Inassyn	C. Z. Mazzyn
C. Z. Mazzyn	C. Z. Mazzyn
Cain	Cain
Caldegi	Caldesi
Caldesi	Caldesi
Caluesi	Caldesi
Caldesi, Marcucci	Caldesi, Marcucci
Calenso	Calenso
California Department of Fish and Game	California Department of Fish and Game
Cancap 2	Cancap 2
Cancap 3	Cancap 3
CANCAP 5	Cancap 5
Canepa	Canepa
Canepa, Gennari	Canepa, Gennari
Cara H. Clarke	Cara H. Clarke
Carl Hubbs	Carl Hubbs
Carl L. Hubbs	Carl L. Hubbs
Carl O. Grassel	Carl O. Grassel
Carl O. Grassl	Carl O. Grassel
Carl Skottsberg	Carl Skottsberg
Carl Skottsbey	Carl Skottsberg
Carl Struck	Carl Struck
Carline M. Crosby	Carline M. Crosby
C. Diaz Piferrer	Carlos Diaz-Piferrer
Diaz-Piferrer	Carlos Diaz-Piferrer
Dom S. Akermark	Carlos Diaz-Piferrer
C. Díaz-Piffer Sierra	Carlos Diaz-Piferrer Sierra
Carlos Diaz-Piferrer Sierra	Carlos Diaz-Piferrer Sierra
Carlos Frederico Gurgel	Carlos Frederico Gurgel
Carlos Quian	Carlos Quian
Carmen de Franc	Carmen de Franco
Carmen de Franco	Carmen de Franco
Carnagie Plankton Collection	Carnagie Plankton Collection
Carol Croley, C. Dawes	Carol Croley, C. Dawes
Carol Croley, Charles Aregood	Carol Croley, Charles Aregood
Carol L. Howel	Carol L. Howel
Caroline M. Crosby	Caroline M. Crosby
Caroline M. Crosby, Gene Lilley	Caroline M. Crosby, Gene Lilley
Caroline Rosenberg	Caroline Rosenberg
Carolyn Watanabe	Carolyn Watanabe
Carreiro	Carreiro
Carrington	Carrington
Miss Carter	Carter
Cauter	Cauter
Cefati	Cefati
Cerdero de la Cruz	Cerdero de la Cruz
Cesar Acleto	Cesar Acleto
César Acleto	Cesar Acleto
Cesar Acleto O.	Cesar Acleto
Cesar Aeleto	Cesar Acleto
Cesati	Cesati
Chamberlain	Chamberlain
Chan S. Tong	Chan S. Tong
