P. A. Cordero, Jr., Reynoso, Celis	fix2019 P. A. Cordero, Jr., Reynoso, Celis	3
Gilbert, Velasquez and Santiago	fix2019 Gilbert, Velasquez and Santiago	1
J. Davis, U. Tennessee	fix2019 J. Davis, U. Tennessee	3
M. H. Loww, A. V. Duthie	fix2019 M. H. Loww, A. V. Duthie	1
T. Tanaka, Itono	fix2019 T. Tanaka, Itono	1
V. D. L., C. Stuart	fix2019 V. D. L., C. Stuart	1
E. Yale Dawson, C. M. Dawson	fix2019 E. Yale Dawson, C. M. Dawson	5
Menez, West	fix2019 Menez, West	1
R. G. Hooper, M. Roberge	fix2019 R. G. Hooper, M. Roberge	2
T. Wajima, S. Yoshizawa, T. Wajima	fix2019 T. Wajima, S. Yoshizawa, T. Wajima	1
T. T.	fix2019 T. T.	4
S. Harvey, A. V. Duthie	fix2019 S. Harvey, A. V. Duthie	1
Cordero, Fernando, Reynoso	fix2019 Cordero, Fernando, Reynoso	1
R. W. Ricker, L. Torre	fix2019 R. W. Ricker, L. Torre	1
J. N. Norris, K. Bucher	fix2019 J. N. Norris, K. Bucher	1
L. R. Almodovar, V. M. Rosado, A. Rehm, and J. Gonzalez	fix2019 L. R. Almodovar, V. M. Rosado, A. Rehm, and J. Gonzalez	1
J. W. De Jager, A. V. Duthie	fix2019 J. W. De Jager, A. V. Duthie	1
J. Cabrera, R. Magana	fix2019 J. Cabrera, R. Magana	2
Fehlmann, Kornicher, Boatswain	fix2019 Fehlmann, Kornicher, Boatswain	1
Cordero, Calip, Fernando	fix2019 Cordero, Calip, Fernando	1
A. Braun, Preiss	fix2019 A. Braun, Preiss	1
P. A. Cordero, UST Field Botany '77	fix2019 P. A. Cordero, UST Field Botany '77	1
Gregorio T. Velasquez, Alejandro Santiago	fix2019 Gregorio T. Velasquez, Alejandro Santiago	1
Diaz-Piferrer, Aylthon B. Joly	fix2019 Diaz-Piferrer, Aylthon B. Joly	1
V. M. Rosado, J. J. Irizarry, P. J. Ramos	fix2019 V. M. Rosado, J. J. Irizarry, P. J. Ramos	5
G. A. Chambers, A. H. S. Lucas	fix2019 G. A. Chambers, A. H. S. Lucas	1
E. F. Kok, A. V. Duthie	fix2019 E. F. Kok, A. V. Duthie	1
Luis R. Almodovar, V. & D. Rosado	fix2019 Luis R. Almodovar, V. & D. Rosado	1
T. Kitayama, T. Wajima, T. Yamamoto	fix2019 T. Kitayama, T. Wajima, T. Yamamoto	1
Donald Richards, Clare F. Massey	fix2019 Donald Richards, Clare F. Massey	1
